CCSR Category,CCSR Category Description,Clinical Domain,ICD-10-PCS Root Operations,ICD-10-PCS Body Parts,ICD-10-PCS Devices,ICD-10-PCS Approaches
CAR012,Vessel repair and replacement,Cardiovascular Procedures,"Supplement, Repair, Replacement, Reposition, Release","""Thoracic Aorta, Ascending/Arch"", ""Femoral Artery, Right"", ""Femoral Artery, Left"", Abdominal Aorta, Pulmonary Trunk, ""Brachial Artery, Left"", ""External Iliac Artery, Right"", ""Thoracic Aorta, Descending"", ""External Iliac Artery, Left"", ""Pulmonary Artery, Right"", ""Pulmonary Artery, Left"", Inferior Vena Cava, ""Brachial Artery, Right"", ""Popliteal Artery, Left"", ""Popliteal Artery, Right"", Lower Artery, ""Radial Artery, Left"", Upper Artery, ""Radial Artery, Right"", ""Ulnar Artery, Left"", ""Femoral Vein, Right"", ""Axillary Artery, Right"", ""Femoral Vein, Left"", Upper Vein, ""Ulnar Artery, Right"", Portal Vein, Hepatic Artery, ""Common Iliac Artery, Left"", Lower Vein, Superior Vena Cava, Superior Mesenteric Artery, ""Common Iliac Artery, Right"", ""Common Iliac Vein, Left"", ""Internal Jugular Vein, Right"", Superior Mesenteric Vein, ""Posterior Tibial Artery, Left"", ""Axillary Artery, Left"", ""Posterior Tibial Artery, Right"", Innominate Artery, ""Hand Artery, Left"", ""Internal Iliac Artery, Left"", Face Artery, ""Subclavian Artery, Right"", ""Subclavian Artery, Left"", ""Internal Iliac Artery, Right"", ""Renal Artery, Right"", ""Internal Jugular Vein, Left"", Hepatic Vein, ""Pulmonary Vein, Right"", ""Anterior Tibial Artery, Left"", ""Anterior Tibial Artery, Right"", ""Peroneal Artery, Left"", ""Hand Artery, Right"", Gastric Artery, ""Cephalic Vein, Left"", ""Renal Artery, Left"", ""External Iliac Vein, Left"", ""Saphenous Vein, Left"", ""Saphenous Vein, Right"", ""Pulmonary Vein, Left"", ""Peroneal Artery, Right"", ""External Iliac Vein, Right"", ""External Jugular Vein, Right"", ""Renal Vein, Left"", Celiac Artery, ""Internal Mammary Artery, Left"", ""Innominate Vein, Left"", ""Renal Vein, Right"", ""External Jugular Vein, Left"", ""Cephalic Vein, Right"", ""Brachial Vein, Right"", ""Brachial Vein, Left"", ""Subclavian Vein, Left"", ""Axillary Vein, Right"", ""Subclavian Vein, Right"", Splenic Artery, Intracranial Artery, ""Axillary Vein, Left"", ""Common Iliac Vein, Right"", ""Basilic Vein, Left"", Inferior Mesenteric Artery, ""Hand Vein, Left"", ""Face Vein, Left"", ""Hand Vein, Right"", Splenic Vein, ""Foot Artery, Right"", ""Internal Mammary Artery, Right"", ""Foot Artery, Left"", ""Face Vein, Right"", ""Innominate Vein, Right"", Coronary Vein, ""Hypogastric Vein, Left"", Inferior Mesenteric Vein, ""Temporal Artery, Right"", ""Basilic Vein, Right"", ""Temporal Artery, Left"", ""Hypogastric Vein, Right"", ""Vertebral Artery, Left"", Colic Vein, Gastric Vein, ""Vertebral Artery, Right"", ""Thyroid Artery, Right"", Intracranial Vein, ""Thyroid Artery, Left"", Azygos Vein, ""Foot Vein, Right"", ""Colic Artery, Middle"", ""Foot Vein, Left"", ""Vertebral Vein, Left"", ""Vertebral Vein, Right"", ""Colic Artery, Right"", Hemiazygos Vein","No Device, Synthetic Substitute, Nonautologous Tissue Substitute, Autologous Tissue Substitute, Zooplastic Tissue","Open, Percutaneous, Percutaneous Endoscopic"
CAR013,Heart and great vessel bypass procedures,Cardiovascular Procedures,Bypass,"""Ventricle, Right"", Superior Vena Cava, ""Thoracic Aorta, Ascending/Arch"", ""Atrium, Right"", Inferior Vena Cava, ""Atrium, Left"", ""Pulmonary Artery, Right"", ""Thoracic Aorta, Descending"", Pulmonary Trunk, ""Pulmonary Artery, Left"", ""Ventricle, Left""","Synthetic Substitute, No Device, Nonautologous Tissue Substitute, Zooplastic Tissue, Autologous Venous Tissue, Autologous Arterial Tissue, Autologous Tissue Substitute","Open, Percutaneous, Percutaneous Endoscopic"
CAR014,Peripheral arterial bypass procedures,Cardiovascular Procedures,Bypass,"""Femoral Artery, Right"", ""Femoral Artery, Left"", Abdominal Aorta, ""Popliteal Artery, Left"", ""Popliteal Artery, Right"", ""Axillary Artery, Right"", ""Axillary Artery, Left"", ""External Iliac Artery, Right"", ""External Iliac Artery, Left"", ""Common Iliac Artery, Right"", ""Common Iliac Artery, Left"", ""Temporal Artery, Right"", ""Brachial Artery, Left"", ""Subclavian Artery, Left"", ""Temporal Artery, Left"", ""Brachial Artery, Right"", Intracranial Artery, ""Subclavian Artery, Right"", ""Internal Iliac Artery, Right"", ""Posterior Tibial Artery, Left"", ""Anterior Tibial Artery, Left"", ""Internal Iliac Artery, Left"", ""Anterior Tibial Artery, Right"", ""Posterior Tibial Artery, Right"", ""Radial Artery, Left"", ""Peroneal Artery, Right"", Hepatic Artery, ""Ulnar Artery, Right"", ""Foot Artery, Left"", ""Radial Artery, Right"", ""Peroneal Artery, Left"", ""Ulnar Artery, Left"", Innominate Artery, ""Foot Artery, Right"", Splenic Artery","Synthetic Substitute, Autologous Venous Tissue, No Device, Nonautologous Tissue Substitute, Autologous Arterial Tissue","Open, Percutaneous Endoscopic, Percutaneous"
CAR015,Peripheral arteriovenous fistula and shunt procedures,Cardiovascular Procedures,Bypass,"""Brachial Artery, Left"", ""Brachial Artery, Right"", ""Radial Artery, Left"", ""Radial Artery, Right"", ""Axillary Artery, Left"", ""Femoral Artery, Left"", ""Femoral Artery, Right"", ""Axillary Artery, Right"", ""Popliteal Artery, Left"", ""Popliteal Artery, Right"", ""Ulnar Artery, Left"", Innominate Artery, ""Ulnar Artery, Right"", ""Posterior Tibial Artery, Left"", ""Posterior Tibial Artery, Right"", ""Anterior Tibial Artery, Left"", ""Peroneal Artery, Left"", ""Subclavian Artery, Left"", ""Subclavian Artery, Right"", ""Anterior Tibial Artery, Right"", ""Peroneal Artery, Right"", ""Foot Artery, Right""","No Device, Synthetic Substitute, Autologous Venous Tissue, Nonautologous Tissue Substitute, Autologous Arterial Tissue","Open, Percutaneous, Percutaneous Endoscopic"
CAR016,Portal and other venous bypass procedures,Cardiovascular Procedures,Bypass,"Portal Vein, ""Femoral Vein, Right"", ""Femoral Vein, Left"", ""Cephalic Vein, Left"", Superior Mesenteric Vein, ""Face Vein, Left"", ""Basilic Vein, Left"", ""Saphenous Vein, Left"", ""Axillary Vein, Left"", ""External Jugular Vein, Left"", ""External Iliac Vein, Right"", ""Brachial Vein, Left"", Inferior Vena Cava, ""Saphenous Vein, Right"", ""Cephalic Vein, Right"", ""Renal Vein, Left"", Splenic Vein, ""External Jugular Vein, Right"", ""Face Vein, Right"", ""Internal Jugular Vein, Right"", ""Axillary Vein, Right"", ""Internal Jugular Vein, Left"", Hepatic Vein, ""Basilic Vein, Right"", ""Foot Vein, Right"", ""Innominate Vein, Left"", ""Common Iliac Vein, Left"", ""External Iliac Vein, Left"", ""Hand Vein, Left"", ""Renal Vein, Right"", Inferior Mesenteric Vein, ""Subclavian Vein, Left"", ""Common Iliac Vein, Right"", ""Brachial Vein, Right"", Azygos Vein, ""Subclavian Vein, Right"", ""Vertebral Vein, Left"", Gastric Vein, ""Innominate Vein, Right"", Intracranial Vein","Synthetic Substitute, Autologous Venous Tissue, No Device, Nonautologous Tissue Substitute, Autologous Arterial Tissue, Autologous Tissue Substitute","Percutaneous, Open, Percutaneous Endoscopic"
CAR017,Pericardial procedures,Cardiovascular Procedures,"Drainage, Excision, Release, Extirpation, Supplement, Inspection, Removal, Repair, Resection, Change, Replacement, Destruction, Insertion, Revision, Fragmentation","Pericardial Cavity, Pericardium","No Device, Drainage Device, Synthetic Substitute, Zooplastic Tissue, Autologous Tissue Substitute, Other Device, Nonautologous Tissue Substitute, Infusion Device","Open, Percutaneous, Percutaneous Endoscopic, External"
CAR018,Heart transplant,Cardiovascular Procedures,Transplantation,Heart,No Device,Open
CAR019,Septal repair and other therapeutic heart procedures,Cardiovascular Procedures,"Repair, Supplement, Excision, Destruction, Dilation, Extirpation, Release, Replacement, Resection, Restriction, Division","Atrial Septum, Ventricular Septum, ""Ventricle, Left"", ""Ventricle, Right"", ""Atrium, Right"", ""Atrium, Left"", Heart, Chordae Tendineae, Papillary Muscle, ""Heart, Left"", ""Heart, Right""","No Device, Synthetic Substitute, Autologous Tissue Substitute, Zooplastic Tissue, Nonautologous Tissue Substitute, Intraluminal Device, Extraluminal Device","Open, Percutaneous, Percutaneous Endoscopic"
CAR020,Saphenous vein harvest and other therapeutic vessel removal,Cardiovascular Procedures,"Excision, Destruction, Extraction","""Saphenous Vein, Left"", ""Saphenous Vein, Right"", ""Radial Artery, Left"", Lower Vein, ""Internal Mammary Artery, Left"", Intracranial Artery, Intracranial Vein, ""Radial Artery, Right"", ""Cephalic Vein, Left"", ""Thoracic Aorta, Descending"", ""Femoral Artery, Right"", ""Femoral Artery, Left"", ""Pulmonary Vein, Left"", Upper Vein, ""Pulmonary Vein, Right"", ""Cephalic Vein, Right"", ""Internal Mammary Artery, Right"", Portal Vein, ""Femoral Vein, Left"", ""Femoral Vein, Right"", Inferior Vena Cava, ""Brachial Artery, Left"", ""Basilic Vein, Left"", Upper Artery, ""Thoracic Aorta, Ascending/Arch"", ""Brachial Vein, Left"", ""Basilic Vein, Right"", Superior Mesenteric Vein, ""Internal Jugular Vein, Left"", ""Brachial Artery, Right"", ""Internal Jugular Vein, Right"", Hepatic Artery, ""Popliteal Artery, Right"", Lower Artery, ""Internal Carotid Artery, Right"", ""Popliteal Artery, Left"", ""Renal Vein, Left"", ""Renal Vein, Right"", ""Axillary Artery, Left"", ""Internal Carotid Artery, Left"", Abdominal Aorta, ""Axillary Artery, Right"", ""Pulmonary Artery, Left"", Superior Mesenteric Artery, ""External Carotid Artery, Right"", ""External Jugular Vein, Right"", ""Innominate Vein, Left"", ""External Iliac Artery, Left"", ""Axillary Vein, Left"", ""Brachial Vein, Right"", Celiac Artery, ""External Iliac Artery, Right"", Superior Vena Cava, ""External Carotid Artery, Left"", ""Common Iliac Artery, Right"", ""Temporal Artery, Right"", ""Common Iliac Artery, Left"", ""Pulmonary Artery, Right"", ""External Jugular Vein, Left"", ""Internal Iliac Artery, Right"", Pulmonary Trunk, ""Internal Iliac Artery, Left"", ""Common Carotid Artery, Right"", Splenic Artery, Face Artery, ""Subclavian Artery, Left"", ""Hand Vein, Right"", ""Common Carotid Artery, Left"", ""External Iliac Vein, Right"", Splenic Vein, ""Foot Vein, Left"", Azygos Vein, ""Foot Vein, Right"", ""Temporal Artery, Left"", ""Face Vein, Left"", ""Hand Vein, Left"", ""External Iliac Vein, Left"", Inferior Mesenteric Artery, ""Ulnar Artery, Right"", Hepatic Vein, ""Axillary Vein, Right"", ""Subclavian Artery, Right"", ""Ulnar Artery, Left"", ""Vertebral Artery, Right"", ""Vertebral Artery, Left"", ""Renal Artery, Left"", ""Common Iliac Vein, Right"", ""Renal Artery, Right"", ""Vertebral Vein, Right"", Gastric Artery, ""Subclavian Vein, Left"", Gastric Vein, ""Posterior Tibial Artery, Left"", Innominate Artery, ""Innominate Vein, Right"", ""Common Iliac Vein, Left"", Inferior Mesenteric Vein, ""Posterior Tibial Artery, Right"", ""Hand Artery, Left"", ""Face Vein, Right"", ""Hand Artery, Right"", ""Hypogastric Vein, Left"", ""Thyroid Artery, Right"", ""Hypogastric Vein, Right"", ""Anterior Tibial Artery, Left"", ""Vertebral Vein, Left"", ""Anterior Tibial Artery, Right"", ""Peroneal Artery, Left"", ""Foot Artery, Left"", Hemiazygos Vein, Coronary Vein, ""Peroneal Artery, Right"", ""Thyroid Artery, Left"", ""Colic Artery, Right"", Colic Vein",No Device,"Percutaneous Endoscopic, Open, Percutaneous"
CAR021,"Artery, vein, and great vessel procedures, NEC",Cardiovascular Procedures,"Inspection, Drainage, Excision, Reposition, Release, Other Procedures, Removal, Revision","Upper Artery, Upper Vein, Lower Artery, ""Temporal Artery, Right"", ""Temporal Artery, Left"", Lower Vein, ""Radial Artery, Right"", ""Radial Artery, Left"", Circulatory System, Great Vessel, ""Basilic Vein, Left"", Celiac Artery, ""Axillary Artery, Right"", ""Basilic Vein, Right"", ""Brachial Artery, Right"", ""Brachial Artery, Left"", ""Femoral Artery, Right"", Inferior Mesenteric Artery, ""Cephalic Vein, Left"", ""Subclavian Artery, Left"", Inferior Vena Cava, ""Subclavian Vein, Right"", ""Femoral Artery, Left"", ""Cephalic Vein, Right"", ""Subclavian Artery, Right"", Hepatic Artery, ""Internal Jugular Vein, Right"", ""Subclavian Vein, Left"", Portal Vein, ""Axillary Vein, Right"", ""Renal Artery, Left"", ""Renal Vein, Left"", ""Brachial Vein, Right"", ""Saphenous Vein, Left"", ""Brachial Vein, Left"", ""Internal Jugular Vein, Left"", ""Popliteal Artery, Left"", Superior Mesenteric Artery, Innominate Artery, ""Vertebral Artery, Left"", Intracranial Artery, ""Renal Artery, Right"", ""Internal Carotid Artery, Right"", ""Popliteal Artery, Right"", ""Saphenous Vein, Right"", Abdominal Aorta, ""Femoral Vein, Left"", ""Common Carotid Artery, Left"", ""Femoral Vein, Right"", ""Posterior Tibial Artery, Right"", ""Internal Carotid Artery, Left"", ""External Carotid Artery, Left"", ""Hand Artery, Right"", Superior Mesenteric Vein, ""Common Iliac Artery, Left"", ""Common Iliac Vein, Left"", ""External Iliac Artery, Right"", ""Hand Artery, Left"", ""Thoracic Aorta, Ascending/Arch"", ""Renal Vein, Right"", ""Ulnar Artery, Left"", Hepatic Vein, ""External Iliac Artery, Left"", ""Vertebral Artery, Right"", ""Innominate Vein, Left"", ""Axillary Artery, Left"", ""Axillary Vein, Left"", ""Internal Mammary Artery, Left"", ""Posterior Tibial Artery, Left"", ""External Iliac Vein, Left"", ""External Carotid Artery, Right"", Gastric Artery, ""Ulnar Artery, Right"", ""Hand Vein, Left"", ""Hand Vein, Right"", Azygos Vein, Superior Vena Cava, ""Common Iliac Vein, Right"", Face Artery, Splenic Artery, ""Innominate Vein, Right"", Splenic Vein, Intracranial Vein, ""External Jugular Vein, Right"", ""External Jugular Vein, Left"", Gastric Vein, ""Common Carotid Artery, Right"", ""Internal Iliac Artery, Left"", ""Common Iliac Artery, Right"", ""Thoracic Aorta, Descending"", ""Foot Artery, Left"", ""Internal Iliac Artery, Right"", ""Pulmonary Artery, Left"", ""Pulmonary Artery, Right"", ""Anterior Tibial Artery, Right"", ""Hypogastric Vein, Left"", ""External Iliac Vein, Right"", ""Thyroid Artery, Right"", ""Face Vein, Left"", ""Thyroid Artery, Left"", Coronary Vein, ""Face Vein, Right"", ""Foot Artery, Right"", Hemiazygos Vein, Pulmonary Trunk, ""Vertebral Vein, Left"", ""Foot Vein, Right"", ""Pulmonary Vein, Right"", ""Internal Mammary Artery, Right"", ""Peroneal Artery, Left""","No Device, Collection, Drainage Device, Near Infrared Spectroscopy","Percutaneous, Open, External, Percutaneous Endoscopic"
CAR022,Heart valve replacement and other valve procedures (non-endovascular),Cardiovascular Procedures,"Replacement, Supplement, Repair, Excision, Creation, Release, Restriction, Extirpation, Dilation, Occlusion, Revision, Destruction, Resection","Aortic Valve, Mitral Valve, Tricuspid Valve, Pulmonary Valve","Zooplastic Tissue, Synthetic Substitute, No Device, Nonautologous Tissue Substitute, Autologous Tissue Substitute, ""Zooplastic Tissue, Rapid Deployment Technique"", Intraluminal Device, Extraluminal Device","Open, Percutaneous Endoscopic"
CAR023,Heart valve replacement and other valve procedures (endovascular),Cardiovascular Procedures,"Replacement, Supplement, Assistance, Dilation, Extirpation, Repair, Revision, Excision, Destruction, Release, Restriction","Aortic Valve, Mitral Valve, Innominate Artery and Left Common Carotid Artery, Tricuspid Valve, Pulmonary Valve, Aortic Arch","Zooplastic Tissue, Synthetic Substitute, ""Cerebral Embolic Filtration, Dual Filter"", No Device, ""Zooplastic Tissue, Rapid Deployment Technique"", Nonautologous Tissue Substitute, ""Cerebral Embolic Filtration, Single Deflection Filter"", Autologous Tissue Substitute, Intraluminal Device, ""Intraluminal Device, Drug-eluting""",Percutaneous
CAR024,Venous and arterial catheter placement,Cardiovascular Procedures,"Insertion, Revision, Removal","Superior Vena Cava, Upper Artery, ""Atrium, Right"", Upper Vein, ""Internal Jugular Vein, Right"", Lower Vein, ""Basilic Vein, Right"", Lower Artery, Inferior Vena Cava, ""Basilic Vein, Left"", ""Femoral Vein, Right"", ""Brachial Vein, Right"", ""Internal Jugular Vein, Left"", ""Brachial Vein, Left"", ""Femoral Vein, Left"", ""Pulmonary Artery, Right"", ""Cephalic Vein, Right"", ""Radial Artery, Right"", ""Subclavian Vein, Right"", ""Cephalic Vein, Left"", ""Subclavian Vein, Left"", Pulmonary Trunk, ""Radial Artery, Left"", ""Axillary Vein, Right"", ""Femoral Artery, Right"", ""Thoracic Aorta, Descending"", ""Axillary Vein, Left"", ""Femoral Artery, Left"", ""Innominate Vein, Left"", ""Pulmonary Artery, Left"", ""External Jugular Vein, Right"", ""Innominate Vein, Right"", ""External Jugular Vein, Left"", ""Hand Vein, Right"", ""Internal Iliac Artery, Left"", ""Hand Vein, Left"", Great Vessel, ""Brachial Artery, Right"", ""Brachial Artery, Left"", ""Axillary Artery, Right"", ""Common Iliac Vein, Right"", ""Internal Iliac Artery, Right"", ""Axillary Artery, Left"", Hepatic Vein, Portal Vein, ""Common Iliac Vein, Left"", ""Saphenous Vein, Right"", ""Popliteal Artery, Right"", ""Popliteal Artery, Left"", Abdominal Aorta, ""Saphenous Vein, Left"", Hepatic Artery, ""External Iliac Vein, Right"", Heart, ""Ventricle, Right"", ""Foot Vein, Right"", ""Posterior Tibial Artery, Right"", ""Subclavian Artery, Right"", ""Atrium, Left"", ""Thoracic Aorta, Ascending/Arch"", ""Foot Vein, Left"", ""Subclavian Artery, Left"", ""External Iliac Vein, Left"", ""Anterior Tibial Artery, Right"", ""Posterior Tibial Artery, Left"", Azygos Vein, ""Common Carotid Artery, Right"", ""Common Iliac Artery, Left"", ""External Iliac Artery, Left"", ""Anterior Tibial Artery, Left"", ""Internal Carotid Artery, Right"", ""Common Carotid Artery, Left"", ""Internal Carotid Artery, Left"", ""Peroneal Artery, Left"", ""Ulnar Artery, Left"", ""Common Iliac Artery, Right"", ""Vertebral Artery, Left"", ""Ulnar Artery, Right"", ""Peroneal Artery, Right"", Intracranial Artery, ""External Iliac Artery, Right"", ""Hand Artery, Right"", ""Hand Artery, Left"", Superior Mesenteric Artery, ""Ventricle, Left"", ""Vertebral Artery, Right"", ""Foot Artery, Right"", ""Foot Artery, Left"", Colic Vein, ""External Carotid Artery, Right"", ""Pulmonary Vein, Right"", Intracranial Vein, ""Hypogastric Vein, Right"", ""Renal Artery, Left"", ""Renal Vein, Left"", ""Face Vein, Left"", Superior Mesenteric Vein, Celiac Artery, ""Vertebral Vein, Right"", ""External Carotid Artery, Left"", ""Thyroid Artery, Left"", ""Renal Artery, Right"", Innominate Artery, ""Renal Vein, Right"", Hemiazygos Vein, Coronary Vein, ""Face Vein, Right"", ""Vertebral Vein, Left"", ""Hypogastric Vein, Left"", Gastric Artery, Inferior Mesenteric Artery, Esophageal Vein, ""Pulmonary Vein, Left"", ""Colic Artery, Right"", Inferior Mesenteric Vein, Splenic Artery, Gastric Vein, Splenic Vein, ""Internal Mammary Artery, Left"", ""Colic Artery, Left"", ""Colic Artery, Middle"", Face Artery","Infusion Device, Monitoring Device, ""Monitoring Device, Pressure Sensor""","Percutaneous, Open, External, Percutaneous Endoscopic"
